player,VSA,SBA,SwM,FB_SwM,BB_SwM,IZ_SwM,swings,IZ_swings,IZ swings/miss
"Brantley, Michael",-33.2,-7.0,0.06,0.02,0.14,0.02,68,49,1
"Bregman, Alex",-29.5,-21.3,0.12,0.08,0.17,0.06,831,611,36
"Brennan, Will",-32.4,-6.0,0.16,0.13,0.20,0.09,692,413,37
"Bride, Jonah",-29.4,-24.3,0.16,0.07,0.17,0.10,152,103,10
"Brosseau, Mike",-33.4,-29.4,0.27,0.39,0.25,0.18,51,38,7
"Brown, Seth",-32.7,-9.5,0.30,0.18,0.42,0.19,608,390,73
"Brujan, Vidal",-29.8,-21.6,0.15,0.07,0.54,0.13,122,77,10
"Bryant, Kris",-37.2,-14.9,0.22,0.11,0.36,0.13,425,276,35
"Burdick, Peyton",-36.8,-22.7,0.42,0.50,0.47,0.39,82,54,21
"Burger, Jake",-24.5,-17.4,0.32,0.21,0.45,0.19,843,516,97
"Burleson, Alec",-34.0,-15.1,0.15,0.14,0.18,0.09,516,311,27
"Busch, Michael",-38.2,-19.5,0.28,0.20,0.37,0.16,154,90,14
"Butler, Lawrence",-33.3,-5.7,0.27,0.17,0.29,0.17,207,141,24
"Buxton, Byron",-34.7,-19.0,0.29,0.28,0.33,0.17,436,280,47
"Caballero, Jose",-33.3,-9.5,0.21,0.14,0.33,0.12,446,278,34
"Cabbage, Trey",-36.0,-11.5,0.50,0.40,0.63,0.29,136,69,20
"Cabrera, Miguel",-32.4,-16.6,0.23,0.15,0.37,0.16,524,377,59
"Cabrera, Oswaldo",-32.6,-14.9,0.22,0.16,0.35,0.15,443,302,44
"Calhoun, Kole",-32.7,-13.7,0.21,0.12,0.20,0.10,293,201,21
"Calhoun, Willie",-18.6,-10.4,0.12,0.11,0.19,0.08,131,84,7
"Call, Alex",-28.2,-18.2,0.16,0.11,0.20,0.10,596,414,43
"Camargo, Johan",-30.8,-9.5,0.27,0.29,0.29,0.23,41,26,6
"Caminero, Junior",-23.1,-16.5,0.38,0.19,0.50,0.35,47,20,7
"Campusano-Bracero, Luis",-26.2,-19.8,0.16,0.15,0.12,0.10,283,175,17
"Canario, Alexander",-33.4,-23.1,0.38,0.32,0.33,0.29,33,21,6
"Candelario, Jeimer",-35.0,-14.1,0.21,0.16,0.33,0.13,872,559,74
"Canha, Mark",-31.0,-18.1,0.16,0.15,0.21,0.10,710,480,50
"Canzone, Dominic",-35.7,-26.0,0.25,0.16,0.34,0.16,322,176,28
"Capel, Conner",-30.4,-18.9,0.33,0.32,0.31,0.14,43,28,4
"Capra, Vinny",-37.3,-6.0,0.21,0.08,0.33,0.17,31,18,3
"Caratini, Victor",-31.7,-10.7,0.19,0.10,0.25,0.12,289,197,23
"Carlson, Dylan",-38.7,-12.1,0.19,0.11,0.25,0.12,378,248,30
"Carpenter, Kerry",-34.4,-26.8,0.22,0.19,0.19,0.14,687,413,56
"Carpenter, Matt",-37.1,-18.9,0.26,0.22,0.33,0.16,297,194,31
"Carroll, Corbin",-23.9,-17.7,0.18,0.14,0.21,0.12,963,587,68
"Carter, Evan",-33.7,-0.6,0.29,0.25,0.27,0.21,101,75,16
"Casali, Curt",-36.2,-16.3,0.22,0.11,0.52,0.13,103,78,10
"Casas, Triston",-37.4,-16.0,0.26,0.20,0.38,0.20,755,484,99
"Castellanos, Nick",-39.8,-13.8,0.33,0.17,0.46,0.20,1135,663,130
"Castro, Harold",-42.1,-13.2,0.28,0.23,0.37,0.13,435,245,32
"Castro, Rodolfo",-34.6,-18.2,0.31,0.13,0.49,0.15,339,213,32
"Castro, Willi",-37.1,-3.2,0.25,0.20,0.28,0.15,660,392,59
"Cave, Jake",-37.6,-21.3,0.22,0.16,0.27,0.15,277,179,27
"Chang, Yu",-31.0,-18.5,0.35,0.20,0.51,0.20,120,70,14
"Chavis, Michael",-27.2,-19.7,0.32,0.26,0.36,0.22,166,92,20
"Chisholm, Jazz",-33.8,-21.1,0.32,0.22,0.40,0.24,496,326,77
"Choi, Ji Man",-30.5,-24.9,0.29,0.29,0.39,0.19,175,118,23
"Clemens, Kody",-32.1,-22.5,0.24,0.22,0.25,0.17,215,138,24
"Clement, Ernie",-33.9,-12.3,0.08,0.05,0.17,0.04,89,53,2
"Colas, Oscar",-33.5,-6.7,0.30,0.26,0.42,0.15,361,194,30
"Contreras, William",-27.2,-23.4,0.27,0.22,0.33,0.19,878,542,102
"Contreras, Willson",-32.5,-16.2,0.26,0.19,0.31,0.14,776,471,68
"Cooper, Garrett",-40.7,-13.0,0.29,0.23,0.38,0.17,749,409,69
"Cordero, Franchy",-34.7,-7.6,0.31,0.14,0.67,0.26,40,27,7
"Correa, Carlos",-33.0,-12.2,0.22,0.12,0.35,0.14,766,482,67
"Cowser, Colton",-40.2,-14.1,0.24,0.27,0.19,0.19,145,96,18
"Crawford, Brandon",-31.0,-25.6,0.28,0.17,0.42,0.17,657,404,69
"Crawford, J.P.",-33.4,-3.6,0.17,0.12,0.24,0.11,831,584,67
